"lon" "lat" "currentDist"
"811" 9 59 117
"812" 9 60 103
"813" 9 61 105
"814" 9 62 99
"815" 9 63 88
"816" 9 64 124
"817" 9 65 132
"818" 9 66 122
"819" 9 67 94
"820" 9 68 118
"821" 9 69 91
"822" 9 70 116
"823" 9 71 70
"824" 9 72 72
"825" 9 73 70
"826" 9 74 109
"827" 9 75 97
"828" 9 76 99
"829" 9 77 117
"830" 9 78 123
"831" 9 79 140
"832" 9 80 128
"833" 9 81 128
"834" 9 82 92
"835" 9 83 139
"836" 9 84 135
"837" 9 85 74
"838" 9 86 109
"839" 9 87 111
"840" 9 88 120
"841" 9 89 89
"842" 9 90 99
"843" 9 91 106
"844" 9 92 100
"845" 9 93 93
"846" 9 94 113
"847" 10 1 132
"848" 10 2 151
"849" 10 3 169
"850" 10 4 114
"851" 10 5 172
"852" 10 6 140
"853" 10 7 109
"854" 10 8 150
"855" 10 9 160
"856" 10 10 110
"857" 10 11 102
"858" 10 12 132
"859" 10 13 106
"860" 10 14 124
"861" 10 15 134
"862" 10 16 133
"863" 10 17 116
"864" 10 18 136
"865" 10 19 126
"866" 10 20 129
"867" 10 21 128
"868" 10 22 91
"869" 10 23 110
"870" 10 24 124
"871" 10 25 133
"872" 10 26 147
"873" 10 27 143
"874" 10 28 153
"875" 10 29 94
"876" 10 30 142
"877" 10 31 116
"878" 10 32 103
"879" 10 33 166
"880" 10 34 107
"881" 10 35 119
"882" 10 36 143
"883" 10 37 148
"884" 10 38 127
"885" 10 39 155
"886" 10 40 155
"887" 10 41 141
"888" 10 42 116
"889" 10 43 125
"890" 10 44 113
"891" 10 45 104
"892" 10 46 102
"893" 10 47 104
"894" 10 48 93
"895" 10 49 83
"896" 10 50 90
"897" 10 51 84
"898" 10 52 102
"899" 10 53 103
"900" 10 54 100
"901" 10 55 116
"902" 10 56 95
"903" 10 57 129
"904" 10 58 93
"905" 10 59 148
"906" 10 60 73
"907" 10 61 92
"908" 10 62 101
"909" 10 63 107
"910" 10 64 102
"911" 10 65 92
"912" 10 66 112
"913" 10 67 108
"914" 10 68 108
"915" 10 69 70
"916" 10 70 82
"917" 10 71 90
"918" 10 72 73
"919" 10 73 83
"920" 10 74 69
"921" 10 75 76
"922" 10 76 93
"923" 10 77 84
"924" 10 78 103
"925" 10 79 143
"926" 10 80 131
"927" 10 81 112
"928" 10 82 107
"929" 10 83 119
"930" 10 84 89
"931" 10 85 94
"932" 10 86 129
"933" 10 87 104
"934" 10 88 100
"935" 10 89 90
"936" 10 90 97
"937" 10 91 112
"938" 10 92 96
"939" 10 93 77
"940" 10 94 115
"941" 11 1 128
"942" 11 2 151
"943" 11 3 149
"944" 11 4 148
"945" 11 5 156
"946" 11 6 149
"947" 11 7 167
"948" 11 8 130
"949" 11 9 127
"950" 11 10 108
"951" 11 11 118
"952" 11 12 130
"953" 11 13 132
"954" 11 14 124
"955" 11 15 136
"956" 11 16 123
"957" 11 17 142
"958" 11 18 126
"959" 11 19 148
"960" 11 20 126
"961" 11 21 143
"962" 11 22 115
"963" 11 23 145
"964" 11 24 174
"965" 11 25 124
"966" 11 26 126
"967" 11 27 159
"968" 11 28 146
"969" 11 29 141
"970" 11 30 175
"971" 11 31 179
"972" 11 32 101
"973" 11 33 143
"974" 11 34 115
"975" 11 35 115
"976" 11 36 161
"977" 11 37 153
"978" 11 38 180
"979" 11 39 147
"980" 11 40 119
"981" 11 41 103
"982" 11 42 98
"983" 11 43 106
"984" 11 44 95
"985" 11 45 91
"986" 11 46 89
"987" 11 47 91
"988" 11 48 74
"989" 11 49 102
"990" 11 50 113
"991" 11 51 101
"992" 11 52 101
"993" 11 53 117
"994" 11 54 128
"995" 11 55 92
"996" 11 56 104
"997" 11 57 97
"998" 11 58 137
"999" 11 59 120
"1000" 11 60 114
"1001" 11 61 114
"1002" 11 62 122
"1003" 11 63 118
"1004" 11 64 85
"1005" 11 65 82
"1006" 11 66 116
"1007" 11 67 70
"1008" 11 68 100
"1009" 11 69 94
"1010" 11 70 106
"1011" 11 71 89
"1012" 11 72 89
"1013" 11 73 84
"1014" 11 74 90
"1015" 11 75 100
"1016" 11 76 104
"1017" 11 77 108
"1018" 11 78 107
"1019" 11 79 127
"1020" 11 80 159
"1021" 11 81 107
"1022" 11 82 144
"1023" 11 83 125
"1024" 11 84 97
"1025" 11 85 77
"1026" 11 86 105
"1027" 11 87 88
"1028" 11 88 112
"1029" 11 89 94
"1030" 11 90 119
"1031" 11 91 115
"1032" 11 92 84
"1033" 11 93 107
"1034" 11 94 119
"1035" 12 1 136
"1036" 12 2 151
